i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural
1633,2000,Central,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289,1
1634,2000,Central,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1.386294361,1
1635,2000,Central,0,1,0,1,0,2,1,0,0,0,1,1,0,0,1.945910149,1
1636,2000,Central,0,0,1,0,2,0,1,0,1,0,1,1,0,0,1.945910149,1
1637,2000,Central,0,0,0,0,2,0,1,0,0,1,0,1,1,0,1.791759469,1
1638,2000,Central,0,1,0,1,0,1,0,0,1,2,0,0,1,1,2.079441542,1
1639,2000,Central,2,0,1,0,0,0,0,0,1,1,0,0,0,0,1.609437912,1
1640,2000,Central,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.386294361,1
1641,2000,Central,1,0,2,0,0,0,0,0,0,1,1,0,0,0,1.609437912,1
1642,2000,Central,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1.386294361,1
1643,2000,Central,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1.386294361,1
1644,2000,Central,2,0,2,0,1,0,0,1,1,0,1,1,0,0,2.197224577,1
1645,2000,Central,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1.386294361,1
1646,2000,Central,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1.386294361,1
1647,2000,Central,1,0,1,0,2,0,0,2,0,0,1,1,0,0,2.079441542,1
1648,2000,Central,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806,1
1649,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1650,2000,Central,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1.609437912,1
1651,2000,Central,0,0,1,1,0,1,0,2,0,0,1,1,0,0,1.945910149,1
1652,2000,Central,1,0,0,0,0,0,0,1,2,1,0,0,1,1,1.945910149,1
1653,2000,Central,1,0,1,0,0,2,0,2,0,0,1,1,0,0,2.079441542,1
1654,2000,Central,0,0,1,1,1,0,1,2,0,1,1,1,0,0,2.197224577,1
1655,2000,Central,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289,0
1656,2000,Central,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1.098612289,0
1657,2000,Central,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1.609437912,0
1658,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1659,2000,Central,0,2,0,0,2,0,0,0,0,2,1,1,1,0,2.197224577,0
1660,2000,Central,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1.098612289,0
1661,2000,Central,0,0,1,1,0,1,2,0,1,0,0,1,0,0,1.945910149,0
1662,2000,Central,0,0,0,2,2,0,0,1,0,0,1,1,0,0,1.945910149,0
1663,2000,Central,0,0,0,1,0,0,2,0,1,1,0,0,1,1,1.945910149,0
1664,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1665,2000,Central,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1.609437912,0
1666,2000,Central,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1.386294361,1
1667,2000,Central,1,1,0,1,2,0,0,1,0,0,1,1,0,0,2.079441542,1
1668,2000,Central,1,1,2,0,0,0,0,0,0,1,1,0,0,0,1.791759469,1
1669,2000,Central,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1.609437912,1
1670,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,1
1671,2000,Central,0,2,0,2,1,1,0,1,0,0,1,1,0,0,2.197224577,1
1672,2000,Central,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6931471806,1
1673,2000,Central,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1.609437912,1
1674,2000,Central,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806,1
1675,2000,Central,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1.609437912,1
1676,2000,Central,0,1,0,0,0,0,0,0,2,1,0,0,2,1,1.945910149,1
1677,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1678,2000,Central,0,0,2,0,0,2,1,0,0,0,1,1,0,0,1.945910149,0
1679,2000,Central,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.098612289,0
1680,2000,Central,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1.386294361,0
1681,2000,Central,1,0,0,2,2,0,1,0,1,1,1,1,0,0,2.302585093,0
1682,2000,Central,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361,0
1683,2000,Central,0,1,0,0,0,1,1,2,2,0,0,0,2,1,2.302585093,0
1684,2000,Central,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.098612289,0
1685,2000,Central,0,0,0,0,1,0,1,1,2,0,0,1,1,0,1.945910149,0
1686,2000,Central,0,0,2,1,0,1,1,0,0,0,1,1,0,0,1.945910149,0
1687,2000,Central,0,2,1,0,0,2,1,0,2,2,1,1,0,0,2.48490665,0
1688,2000,Central,1,1,1,1,1,0,2,0,0,0,1,1,0,0,2.197224577,1
1689,2000,Central,0,1,0,0,2,0,1,0,1,1,1,1,0,0,2.079441542,1
1690,2000,Central,1,1,1,1,1,1,0,1,0,2,0,1,0,0,2.302585093,1
1691,2000,Central,1,0,1,2,1,1,0,1,0,1,1,0,0,0,2.197224577,1
1692,2000,Central,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1.386294361,1
1693,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,1
1694,2000,Central,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361,1
1695,2000,Central,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1.386294361,1
1696,2000,Central,0,0,0,2,0,0,0,1,1,1,1,1,0,0,1.945910149,1
1697,2000,Central,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1.945910149,1
1698,2000,Central,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806,1
1699,2000,Central,1,1,2,0,1,2,0,0,0,0,1,1,1,0,2.302585093,1
1700,2000,Central,1,0,1,2,0,0,0,0,1,1,0,0,0,0,1.791759469,1
1701,2000,Central,1,0,1,1,2,0,1,1,1,1,1,1,0,0,2.397895273,1
1702,2000,Central,0,2,0,2,0,1,0,0,1,1,0,0,0,0,1.945910149,1
1703,2000,Central,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.098612289,1
1704,2000,Central,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1.791759469,1
1705,2000,Central,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806,1
1706,2000,Central,0,1,1,2,1,0,2,0,0,0,2,0,0,0,2.197224577,1
1707,2000,Central,1,1,2,1,1,1,1,1,0,0,1,1,0,0,2.397895273,1
1708,2000,Central,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1.945910149,1
1709,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,1
1710,2000,Central,1,0,2,1,0,0,0,0,0,1,1,0,0,0,1.791759469,1
1711,2000,Central,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1.609437912,1
1712,2000,Central,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.6931471806,1
1713,2000,Central,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1.386294361,1
1714,2000,Central,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1.609437912,1
1715,2000,Central,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1.609437912,1
1716,2000,Central,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1.386294361,1
1717,2000,Central,0,0,0,0,0,1,0,1,2,1,1,1,0,0,1.945910149,1
1718,2000,Central,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1.386294361,1
1719,2000,Central,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1.609437912,1
1720,2000,Central,0,1,2,0,1,0,2,0,0,1,0,1,0,0,2.079441542,1
1721,2000,Central,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1.791759469,1
1722,2000,Central,0,0,2,1,0,1,0,1,0,0,0,1,0,0,1.791759469,1
1723,2000,Central,1,1,1,2,1,0,2,0,1,1,0,1,0,0,2.397895273,1
1724,2000,Central,1,0,0,2,0,0,0,0,1,1,0,0,0,1,1.791759469,1
1725,2000,Central,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.386294361,1
1726,2000,Central,1,1,2,0,0,1,1,2,0,0,1,1,0,0,2.302585093,1
1727,2000,Central,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.6931471806,1
1728,2000,Central,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1.609437912,0
1729,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0
1730,2000,Central,1,0,0,2,2,0,2,0,0,0,0,1,0,0,2.079441542,0
1731,2000,Central,0,0,1,1,0,1,1,0,3,0,0,0,0,1,2.079441542,0
1732,2000,Central,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.6931471806,0
1733,2000,Central,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1.609437912,0
1734,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1735,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1736,2000,Central,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1.609437912,0
1737,2000,Central,0,1,0,0,0,0,1,0,1,3,0,0,1,1,2.079441542,0
1738,2000,Central,1,0,1,1,2,0,1,0,1,0,1,1,0,0,2.197224577,0
1739,2000,Central,0,0,0,2,1,1,0,0,1,0,1,1,0,0,1.945910149,1
1740,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1741,2000,Central,0,1,3,0,0,0,0,0,0,1,1,0,0,0,1.791759469,1
1742,2000,Central,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1.609437912,1
1743,2000,Central,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361,1
1744,2000,Central,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1.609437912,1
1745,2000,Central,0,3,0,1,0,0,0,0,1,1,0,0,0,0,1.791759469,1
1746,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1747,2000,Central,1,0,2,0,0,0,0,0,1,1,0,0,0,0,1.609437912,1
1748,2000,Central,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1.098612289,1
1749,2000,Central,2,1,0,1,0,0,0,0,1,0,0,1,0,0,1.791759469,1
1750,2000,Central,1,1,2,1,1,2,0,0,0,0,1,1,0,0,2.302585093,1
1751,2000,Central,0,0,0,0,1,2,0,0,1,0,1,1,0,0,1.791759469,1
1752,2000,Central,0,2,0,1,0,1,0,0,2,1,0,0,0,0,1.945910149,1
1753,2000,Central,2,0,1,1,1,0,0,0,1,1,0,0,0,0,1.945910149,1
1754,2000,Central,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1.098612289,1
1755,2000,Central,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361,1
1756,2000,Central,1,1,2,0,2,0,0,1,0,0,1,1,0,0,2.197224577,1
1757,2000,Central,1,0,0,0,0,0,0,2,1,1,0,1,1,0,1.945910149,1
1758,2000,Central,0,1,2,0,0,3,0,0,0,0,0,1,0,0,1.945910149,1
1759,2000,Central,1,1,0,2,1,0,0,0,1,1,0,0,0,0,1.945910149,1
1760,2000,Central,1,0,3,0,1,0,0,0,0,1,1,0,0,0,1.945910149,1
1761,2000,Central,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361,1
1762,2000,Central,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1763,2000,Central,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806,1
1764,2000,Central,1,0,0,2,0,0,0,0,1,1,0,0,0,0,1.609437912,1
1765,2000,Central,0,0,0,1,1,0,0,0,0,2,1,0,0,1,1.791759469,1
1766,2000,Central,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1.609437912,1
1767,2000,Central,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1.098612289,1
1768,2000,Central,0,0,2,0,1,1,0,0,0,1,1,0,0,0,1.791759469,1
1769,2000,Central,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1.386294361,1
1770,2000,Central,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1.609437912,1
1771,2000,Central,0,0,0,2,0,0,0,2,1,2,0,0,1,1,2.197224577,1
1772,2000,Central,0,0,0,0,0,0,1,1,0,2,0,0,1,1,1.791759469,0
1773,2000,Central,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1.609437912,0
1774,2000,Central,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1.609437912,0
1775,2000,Central,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1.386294361,0
1776,2000,Central,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1.098612289,0
1777,2000,Central,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.098612289,0
1778,2000,Central,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1.609437912,0
1779,2000,Central,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.6931471806,0
1780,2000,Central,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361,0
1781,2000,Central,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1.386294361,0
1782,2000,Central,1,0,0,3,0,1,0,0,0,1,1,0,0,0,1.945910149,0
1783,2000,Central,0,1,0,2,0,0,0,2,0,0,0,1,1,0,1.945910149,0
1784,2000,Central,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361,0
1785,2000,Central,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1.945910149,0
1786,2000,Central,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1.098612289,0
1787,2000,Central,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1788,2000,Central,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1.386294361,0
1789,2000,Central,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1.098612289,0
1790,2000,Central,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806,0
1791,2000,Central,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361,0
1792,2000,Central,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1.098612289,0
1793,2000,Central,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1.386294361,0
1794,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1795,2000,Central,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1.609437912,0
1796,2000,Central,1,2,0,1,0,0,0,0,1,1,0,0,0,0,1.791759469,0
1797,2000,Central,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1.098612289,0
1798,2000,Central,0,1,0,0,0,1,0,0,0,2,0,1,0,0,1.609437912,0
1799,2000,Central,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1.609437912,0
1800,2000,Central,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806,0
1801,2000,Central,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806,0
1802,2000,Central,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806,0
1803,2000,Central,0,1,0,2,1,0,0,0,0,0,0,1,1,0,1.791759469,0
1804,2000,Central,1,3,0,0,0,0,0,0,1,2,0,0,1,1,2.197224577,0
1805,2000,Central,1,0,0,0,1,1,1,1,0,1,0,1,1,0,2.079441542,0
1806,2000,Central,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1.098612289,0
1807,2000,Central,0,1,0,2,0,0,1,0,0,1,0,1,0,0,1.791759469,0
1808,2000,Central,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1.386294361,0
1809,2000,Central,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1.945910149,0
1810,2000,Central,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1.386294361,0
1811,2000,Central,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,0
1812,2000,Central,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806,1
1813,2000,Central,0,1,1,0,0,1,2,0,1,0,0,0,1,1,2.079441542,1
1814,2000,Central,1,0,0,0,0,0,0,0,2,1,1,1,0,0,1.791759469,1
1815,2000,Central,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1.386294361,1
1816,2000,Central,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1.098612289,1
1817,2000,Central,1,0,0,2,0,1,1,2,0,0,0,1,0,0,2.079441542,1
1818,2000,Central,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1.098612289,1
1819,2000,Central,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1.609437912,1
1820,2000,Central,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1.609437912,1
1821,2000,Central,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1.386294361,1
1822,2000,Central,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1.386294361,1
1823,2000,Central,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,1
1824,2000,Central,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1.609437912,1
1825,2000,Central,2,1,0,1,1,1,1,1,0,0,1,1,0,0,2.302585093,1
1826,2000,Central,0,2,1,0,0,1,0,1,1,1,0,0,0,0,1.945910149,1
1827,2000,Central,0,0,0,0,0,0,0,2,1,0,1,1,1,0,1.791759469,1
1828,2000,Central,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1.791759469,1
1829,2000,Central,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6931471806,1
1830,2000,Central,1,0,1,1,3,0,2,1,3,0,1,1,0,0,2.63905733,1
1831,2000,Central,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289,1
1832,2000,Central,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1.945910149,1
1833,2000,Central,0,1,1,1,0,0,1,1,0,2,0,1,0,1,2.197224577,1
1834,2000,Central,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1.098612289,1
1835,2000,Central,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1.386294361,1
1836,2000,Central,0,0,0,1,1,1,0,4,0,0,1,1,0,0,2.197224577,1
1837,2000,Central,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289,1
1838,2000,Central,0,1,1,0,0,0,2,0,6,1,0,1,0,0,2.48490665,1
1839,2000,Central,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.098612289,1
1840,2000,Central,0,1,0,2,0,1,0,0,0,1,1,1,1,1,2.197224577,1
1841,2000,Central,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1.609437912,1
1842,2000,Central,0,0,0,1,0,0,0,0,4,2,0,0,0,1,2.079441542,1
1843,2000,Central,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1.945910149,1
1844,2000,Central,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289,1
1845,2000,Central,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361,1
1846,2000,Central,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1.791759469,1
1847,2000,Central,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,0
1848,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0
1849,2000,Central,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1.098612289,0
1850,2000,Central,0,0,0,1,2,0,2,0,0,0,1,1,0,0,1.945910149,0
1851,2000,Central,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361,0
1852,2000,Central,2,0,0,2,1,0,0,1,1,0,1,1,0,0,2.197224577,0
1853,2000,Central,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806,0
1854,2000,Central,0,1,0,0,0,0,0,1,3,0,1,1,0,0,1.945910149,0
1855,2000,Central,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1.098612289,0
1856,2000,Central,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1.609437912,0
1857,2000,Central,0,2,0,0,0,0,1,1,0,0,0,1,0,0,1.609437912,1
1858,2000,Central,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806,1
1859,2000,Central,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1.098612289,1
1860,2000,Central,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1.386294361,1
1861,2000,Central,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1.098612289,1
1862,2000,Central,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.6931471806,1
1863,2000,Central,1,0,0,2,0,0,0,0,0,1,1,0,0,0,1.609437912,1
1864,2000,Central,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1.609437912,1
1865,2000,Central,0,1,0,1,0,0,2,0,0,0,1,1,0,0,1.791759469,1
1866,2000,Central,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361,1
1867,2000,Central,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289,1
1868,2000,Central,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289,1
1869,2000,Central,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1.609437912,1
1870,2000,Central,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.098612289,1
1871,2000,Central,0,0,0,0,0,1,1,2,0,0,1,1,0,0,1.791759469,1
1872,2000,Central,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1.609437912,1
1873,2000,Central,0,0,0,2,0,1,1,0,0,0,0,1,1,1,1.945910149,1
1874,2000,Central,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361,1
1875,2000,Central,0,0,1,2,1,0,1,0,0,0,1,1,0,0,1.945910149,1
1876,2000,Central,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806,1
1877,2000,Central,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1.098612289,1
1878,2000,Central,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1.098612289,1
1879,2000,Central,1,1,1,1,2,0,0,0,0,0,1,1,0,0,2.079441542,1
1880,2000,Central,0,2,0,1,0,2,0,1,0,0,2,1,0,1,2.302585093,1
1881,2000,Central,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361,1
1882,2000,Central,1,0,0,0,1,2,1,0,0,0,1,1,0,0,1.945910149,1
1883,2000,Central,1,0,0,0,2,0,0,0,0,0,0,1,1,1,1.791759469,1
1884,2000,Central,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1.386294361,1
1885,2000,Central,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1.945910149,1
1886,2000,Central,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1.609437912,1
1887,2000,Central,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1.945910149,1
1888,2000,Central,0,0,2,0,1,1,0,0,0,1,1,0,0,0,1.791759469,1
1889,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,1
1890,2000,Central,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1.609437912,1
1891,2000,Central,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1.945910149,1
1892,2000,Central,0,2,1,0,0,0,0,1,4,1,1,1,1,1,2.564949357,1
1893,2000,Central,0,0,2,0,0,0,0,0,1,0,0,1,1,0,1.609437912,1
1894,2000,Central,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1.609437912,1
1895,2000,Central,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1.386294361,1
1896,2000,Central,0,0,0,0,0,1,0,1,0,0,0,2,1,1,1.791759469,1
1897,2000,Central,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1.386294361,1
1898,2000,Central,1,0,2,1,2,1,1,2,2,0,0,3,1,0,2.772588722,1
1899,2000,Central,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1.386294361,1
1900,2000,Central,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.6931471806,1
1901,2000,Central,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1.386294361,1
1902,2000,Central,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1.098612289,1
1903,2000,Central,1,0,0,1,0,0,0,0,1,2,1,1,0,0,1.945910149,1
1904,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,1
1905,2000,Central,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806,1
1906,2000,Central,0,0,0,0,0,0,0,0,2,1,0,1,1,1,1.791759469,1
1907,2000,Central,0,1,1,0,0,0,1,1,1,1,1,1,0,0,2.079441542,1
1908,2000,Central,2,1,2,1,2,2,0,0,1,2,0,1,1,1,2.772588722,1
1909,2000,Central,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1.386294361,1
1910,2000,Central,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1.386294361,1
1911,2000,Central,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.098612289,1
1912,2000,Central,0,0,1,0,0,1,1,0,0,2,0,1,1,0,1.945910149,1
1913,2000,Central,0,0,0,0,1,0,2,0,0,0,0,1,1,0,1.609437912,1
1914,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,1
1915,2000,Central,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361,1
1916,2000,Central,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1.386294361,1
1917,2000,Central,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1.609437912,1
1918,2000,Central,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1.791759469,1
1919,2000,Central,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.098612289,1
1920,2000,Central,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1.386294361,1
1921,2000,Central,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1.945910149,1
1922,2000,Central,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.098612289,1
1923,2000,Central,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1.609437912,1
1924,2000,Central,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.098612289,1
1925,2000,Central,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1.609437912,1
1926,2000,Central,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361,1
1927,2000,Central,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806,1
1928,2000,Central,1,0,0,1,1,0,0,0,2,1,0,0,1,1,2.079441542,1
1929,2000,Central,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1.791759469,1
1930,2000,Central,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1.386294361,1
1931,2000,Central,0,0,2,1,1,0,0,0,1,1,0,1,1,0,2.079441542,1
1932,2000,Central,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1.098612289,1
1933,2000,Central,1,0,0,0,0,2,0,0,0,0,1,1,0,0,1.609437912,1
1934,2000,Central,0,0,0,1,1,1,1,1,1,0,0,1,1,0,2.079441542,1
1935,2000,Central,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1.609437912,1
1936,2000,Central,1,1,2,1,0,0,0,0,1,1,0,0,0,0,1.945910149,1
1937,2000,Central,0,0,1,0,0,1,2,0,1,0,1,1,0,0,1.945910149,1
1938,2000,Central,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1.945910149,1
1939,2000,Central,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1.945910149,1
1940,2000,Central,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1.098612289,0
